frame,n_detections,track_id,x,y,vx,vy,label,hits,frames_missing,confirmed,total_fibers_so_far,total_amorphous_so_far
91,2,14,397.0,260.0,-36.406,2.516,amorphous,8,0,True,1,11
91,2,15,569.0,98.0,0.0,0.0,fiber,1,0,False,1,11
92,2,14,431.0,261.0,-1.203,1.758,amorphous,9,0,True,2,11
92,2,15,584.0,102.0,15.0,4.0,fiber,2,0,True,2,11
93,2,14,397.0,260.0,-17.602,0.379,amorphous,10,0,True,2,11
93,2,15,590.0,104.0,10.5,3.0,fiber,3,0,True,2,11
94,2,14,304.0,260.0,-55.301,0.189,amorphous,11,0,True,2,11
94,2,15,600.0,178.0,10.25,38.5,fiber,4,0,True,2,11
95,4,14,256.0,260.0,-51.65,0.095,amorphous,12,0,True,2,11
95,4,15,581.0,171.0,-4.375,15.75,fiber,5,0,True,2,11
95,4,16,507.0,182.0,0.0,0.0,fiber,1,0,False,2,11
95,4,17,365.0,102.0,0.0,0.0,fiber,1,0,False,2,11
96,3,14,253.0,262.0,-27.325,1.047,amorphous,13,0,True,3,11
96,3,15,588.0,173.0,1.312,8.875,fiber,6,0,True,3,11
96,3,16,507.0,182.0,0.0,0.0,fiber,1,1,False,3,11
96,3,17,333.0,105.0,-32.0,3.0,fiber,2,0,True,3,11
97,4,14,281.0,258.0,0.337,-1.476,amorphous,14,0,True,4,11
97,4,15,620.0,164.0,16.656,-0.062,fiber,7,0,True,4,11
97,4,16,512.0,173.0,2.5,-4.5,fiber,2,0,True,4,11
97,4,17,394.0,101.0,14.5,-0.5,fiber,3,0,True,4,11
98,2,14,197.0,261.0,-41.831,0.762,amorphous,15,0,True,4,11
98,2,15,636.66,163.94,16.656,-0.062,fiber,7,1,True,4,11
98,2,16,505.0,166.0,-2.25,-5.75,fiber,3,0,True,4,11
98,2,17,408.5,100.5,14.5,-0.5,fiber,3,1,True,4,11
99,4,14,118.0,263.0,-60.416,1.381,amorphous,16,0,True,4,11
99,4,15,653.31,163.88,16.656,-0.062,fiber,7,2,True,4,11
99,4,16,469.0,158.0,-19.125,-6.875,fiber,4,0,True,4,11
99,4,17,199.0,109.0,-41.5,1.75,fiber,4,0,True,4,11
99,4,18,249.0,166.0,0.0,0.0,fiber,1,0,False,4,11
100,4,14,91.0,262.0,-43.708,0.19,amorphous,17,0,True,4,12
100,4,15,669.97,163.81,16.656,-0.062,fiber,7,3,True,4,12
100,4,16,462.0,156.0,-13.062,-4.438,amorphous,5,0,True,4,12
100,4,17,150.0,107.0,-45.25,-0.125,fiber,5,0,True,4,12
100,4,18,186.0,159.0,-63.0,-7.0,fiber,2,0,True,4,12
101,4,14,114.0,260.0,-10.354,-0.905,amorphous,18,0,True,3,13
101,4,15,686.62,163.75,16.656,-0.062,fiber,7,4,True,3,13
101,4,16,470.0,157.0,-2.531,-1.719,amorphous,6,0,True,3,13
101,4,17,175.0,110.0,-10.125,1.438,fiber,6,0,True,3,13
101,4,18,193.0,153.0,-28.0,-6.5,amorphous,3,0,True,3,13
102,3,14,113.0,256.0,-5.677,-2.452,amorphous,19,0,True,3,13
102,3,15,703.28,163.69,16.656,-0.062,fiber,7,5,True,3,13
102,3,16,467.47,155.28,-2.531,-1.719,amorphous,6,1,True,3,13
102,3,17,206.0,108.0,10.438,-0.281,fiber,7,0,True,3,13
102,3,18,213.0,144.0,-4.0,-7.75,amorphous,4,0,True,3,13
103,3,14,28.0,256.0,-45.338,-1.226,amorphous,20,0,True,3,13
103,3,16,464.94,153.56,-2.531,-1.719,amorphous,6,2,True,3,13
103,3,17,323.0,161.0,63.719,26.359,fiber,8,0,True,3,13
103,3,18,64.0,143.0,-76.5,-4.375,amorphous,5,0,True,3,13
104,2,14,-17.34,254.77,-45.338,-1.226,amorphous,20,1,True,4,12
104,2,16,462.41,151.84,-2.531,-1.719,amorphous,6,3,True,4,12
104,2,17,252.0,163.0,-3.641,14.18,fiber,9,0,True,4,12
104,2,18,23.0,112.0,-58.75,-17.688,fiber,6,0,True,4,12
105,1,14,-62.68,253.55,-45.338,-1.226,amorphous,20,2,True,4,12
105,1,16,459.88,150.12,-2.531,-1.719,amorphous,6,4,True,4,12
105,1,17,241.0,164.0,-7.32,7.59,fiber,10,0,True,4,12
105,1,18,-35.75,94.31,-58.75,-17.688,fiber,6,1,True,4,12
106,2,14,-108.02,252.32,-45.338,-1.226,amorphous,20,3,True,3,13
106,2,16,457.34,148.41,-2.531,-1.719,amorphous,6,5,True,3,13
106,2,17,273.0,164.0,12.34,3.795,fiber,11,0,True,3,13
106,2,18,28.0,125.0,-28.125,-5.594,amorphous,7,0,True,3,13
107,2,14,-153.35,251.1,-45.338,-1.226,amorphous,20,4,True,3,13
107,2,17,228.0,165.0,-16.33,2.397,fiber,12,0,True,3,13
107,2,18,8.0,137.0,-24.062,3.203,amorphous,8,0,True,3,13
108,1,14,-198.69,249.87,-45.338,-1.226,amorphous,20,5,True,3,13
108,1,17,134.0,166.0,-55.165,1.699,fiber,13,0,True,3,13
108,1,18,-16.06,140.2,-24.062,3.203,amorphous,8,1,True,3,13
109,1,17,109.0,165.0,-40.083,0.349,fiber,14,0,True,3,13
109,1,18,-40.12,143.41,-24.062,3.203,amorphous,8,2,True,3,13
110,1,17,106.0,168.0,-21.541,1.675,fiber,15,0,True,3,13
110,1,18,-64.19,146.61,-24.062,3.203,amorphous,8,3,True,3,13
111,1,17,126.0,171.0,-0.771,2.337,fiber,16,0,True,3,13
111,1,18,-88.25,149.81,-24.062,3.203,amorphous,8,4,True,3,13
112,0,17,125.23,173.34,-0.771,2.337,fiber,16,1,True,3,13
112,0,18,-112.31,153.02,-24.062,3.203,amorphous,8,5,True,3,13
113,1,17,124.46,175.67,-0.771,2.337,fiber,16,2,True,3,13
113,1,19,625.0,229.0,0.0,0.0,amorphous,1,0,False,3,13
114,1,17,123.69,178.01,-0.771,2.337,fiber,16,3,True,3,14
114,1,19,600.0,227.0,-25.0,-2.0,amorphous,2,0,True,3,14
115,1,17,122.92,180.35,-0.771,2.337,fiber,16,4,True,3,14
115,1,19,614.0,225.0,-5.5,-2.0,amorphous,3,0,True,3,14
116,0,17,122.15,182.69,-0.771,2.337,fiber,16,5,True,3,14
116,0,19,608.5,223.0,-5.5,-2.0,amorphous,3,1,True,3,14
117,1,19,476.0,214.0,-37.25,-3.75,amorphous,4,0,True,3,14
